No.,Business_Name,Pre_Crash_Mode,AV,OtherVeh,Weather,Lighting,Collision_Type,Damage_Detail
68,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode was rear-ended while stopped at a red light at the intersection of north Grant Rd and Covington Rd in Mountain View, CA. The Waymo AV was stopped for approximately 9 seconds when a vehicle approaching from behind made contact with the rear bumper of the A V at approximately 3 mph. There were no injuries reported at the scene by either party. The police were notified that the driver of the other vehicle left the scene without exchanging vehicle and insurance information."
69,Cruise,Autonomous,Stopped,Passing Other Vehicle,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (""Cruise AV""), was involved in a collision while operating in autonomous mode, on the northbound side of Franklin Street between Vallejo and Green Streets. The Cruise AV was stopped waiting to maneuver around a double-parked vehicle. Another vehicle directly behind the Cruise AV attempted to pass the Cruise AV on the left, and in doing so clipped the left rear cornerof the Cmise AV as it passed , damaging the bumper and left rear sensor. The other vehicle did not stop. One of the Cruise AV testers sitting in the front passenger seat later reported stiffness in his neck but did not seek medical treatment. The police were not called."
71,Cruise,Autonomous,Making Right Turn,Proceeding Straight,Cloudy,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a collision while operating in autonomous mode on the northbound side of Powell Street between Washington and Jackson Streets. The Cruise AV was stopped waiting for a pedestrian to clear the crosswalk then initiated a right turn onto Jackson Street. Another vehicle directly behind the Cruise AV rear ended the Cruise AV, damaging the rear bumper. There were no injuries and the police were not called."
72,Cruise,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle ( "" Cruise AV "" ) was involved in a collision while operating in conventional mode on Bryant Street between 10th and 11th Streets. Bryant Street is a one-way street heading northeast at that location. The Cruise AV was stopped waiting for pedestrians to clear the sidewalk before making a right turn into a driveway. A vehicle that had turned left onto Bryant Street from 11th Street coll ided with the Cruise AV, damaging the rear bumper and left rear sensor. There were no injuries and the police were not called."
73,Google,Autonomous,Stopped,Backing,Cloudy,Daylight,Broadside,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode was broadsided while stationary in a parking lot at 100 Mayfield Ave. in Mountain View, CA. The Waymo AV was stopped for approximately 65 seconds when a vehicle backing out of a parking spot made contact with the Waymo AV's driver's-side sliding door and rear quarter panel at approximately 2 mph. There were no injuries reported at the scene by either party. The operator of the Waymo AV disengaged autonomous mode while the other vehicle pulled back into the spot it had previously occupied. Both parties then exchanged information."
74,Cruise,Conventional,Parking Manuever,Parked,Clear,Daylight,Hit Object,"A Cruise autonomous vehicle (""Cruise AV"") was parked in a conventional mode on westbound Jackson Street just east of the intersection with Jones CStreet. The driver, intending to pull out of the parking spot still in conventional mode, put the Cruise AV into reverse rather than drive and contacted the vehicle parked directly behind the Cruise AV. The contact scratched the rear bumper of the Cruise AV and dented the license plate holder of the other vehicle. Because the other vehicle was unoccupied, the driver of the Cruise AV left contact information on the windshield. There were no injuries and the police were not called."
75,Cruise,Autonomous,Stopped,Proceeding Straight,Clear,Dusk-Dawn,Rear End,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a collision while operating in autonomous mode southbound on Hyde Street at the intersection with Washington Street. The Cruise AV was stopped waiting for traffic to clear the intersection before making a left turn onto Washington Street. Another vehicle directly behind the Cruise AV collided with the Cruise AV, damaging the center of the rear bumper. The driver of the Cruise AV later experienced stiffness in his neck, sought treatment, and was released to return to work the next day. The police were not called."
76,Cruise,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV"") was rear-ended while operating in autonomous mode on Bryant Street between 10th Street and 11th Street. The Cruise AV had just made a left turn from 11th Street onto Bryant when a second Cruise autonomous vehicle directly behind operating in conventional mode contacted the rear bumper of the Cruise AV, causing minor scuffs to both vehicles. There were no injuries and the police were not called"
77,Google,Conventional,Changing Lanes,Unknown,Clear,Daylight,Side Swipe,"A Waymo autonomous vehicle (""Waymo AV"") traveling on Highway 85 N inMountain View struck the median divide after the driver disengaged the vehiclefrom au tonomous mode to manual mode and allowed the vehicle to drift out of its lane while in manual mode. The Waymo A V experienced moderate damage to its front left tire and bumper. There were no other vehicl es involved and no inj uries were reported at the scene."
78,Aurora,Conventional,Slowing/Stopping,Proceeding Straight,Clear,Daylight,Rear End,"An Aurora test vehicle was being manually driven ( conventional mode) for data collection in Palo Alto near Pagemill Rd and the 280 off-ramp at around 1:50pm on Wednesday 06/20/2018. As the driver of the Aurora test vehicle approached the end of the off-ramp, he witnessed ahead of him a squirrelenter and then stop itself in the middle of the ramp. The driver proceeded to begin a slow and steady decele ration of the Aurora test vehicle to avoid maiming the animal. A silver Lexus traveling behind the Aurora test vehicle then rear ended the test vehicle. There were no injuries and the parties exchanged information. Though the police were not called, a CHP officer was already in the vicinity addressing an abandoned vehicle. The officer consulted with the parties but ultimately concluded no further action was needed."
79,Cruise,Autonomous,Proceeding Straight,Unknown,Clear,Daylight,Other,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode,was traveling westbound on El Camino Del Mar between 32nd Ave and Legion of Honor Drive. The Cruis_e AV was struck by agolf ball from a nearbygolf course causing damage to the Cruise AV's front driver windshield. There were no injuries and police were not called."
80,Cruise,Autonomous,Proceeding Straight,Making Left Turn,Clear,Daylight,Rear End,"A Cruise autonomous vehicle("" Cruise AV"" ), operating in autonomous mode, was involved in a collision while traveling westbound on 17th Street through the intersection with Mission Street. The Cruise AV was struck on its left rear corner by another vehicle making a left turn from eastbound 17th Street onto Mission Street. This caused damage to the Cruise AV' s rear bumper. There were no injuries and police were not called."
81,Cruise,Autonomous,Making Right Turn,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was involved in a collision while turning right from eastbound Hayes Street onto Fillmore Street. Another vehicle, while pulling out ofits parking spot behind the Cruise AV, scraped the Cruise A V's rear bumper. There were no injuries and police were not called."
82,Cruise,Autonomous,Stopped,Unknown,Clear,Daylight,Other,"A Cruise autonomous vehicle ("" Cruise AV"" ) while operating in autonomous mode, was involved in an incident on westbound Sutter Street at the intersection with Sansome Street when a jaywalking pedestrian approached the Cruise AV and intentionally stepped up onto the hood of the vehicle while the Cruise AV was stopped at a red light, resulting in a dent on the hood. The pedestrian then stepped off and walked away. There were no injuries and the police were not called."
83,Google,Autonomous,Stopped,Stopped,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode was rear-ended while it was traveling northwest on Middlefield Road at Oregon Expressway in Palo Alto. The Waymo AV was approaching the right-only turn lane and came to a stop prior to the tum in reaction to a third vehicle passing on its left potentially entering into its lane, The vehicle traveling behind collided with the Waymo AV at approximately 13 mph, The Waymo AV experienced minor damage to a sensor and rear bumper. The other vehicle experienced minor damage to its front bumper. There were no injuries reported at the scene by either party."
84,Google,Autonomous,Stopped,Stopped,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") was in autonomous mode at a red traffic light on West Middlefield Road at Rengstorff Avenue. The Waymo AV was yielding to cross traffic coming from the left when a vehicle from behind approached and made contact with the rear of the Way mo AV."
85,Cruise,Autonomous,Stopped,Unknown,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (""Crui se AV""), operating in autonomous mode, was rear ended by another vehicle while stopped at a four way stop on eastbound Geary Bl vd at 42nd Street, cracking a rear plastic sensor casing of the Cruise AV. There were no injuries and the police were not called."
86,Google,Conventional,Slowing/Stopping,Stopped,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") was being driven in manual at about 3 mph when it made contact with the rear bumper of the vehicle preceding it on Vicente Road. Both vehicles were attempting to make a right turn onto Bernardo Ave. There were no injuries reported at the scene."
87,Google,Autonomous,Slowing/Stopping,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") was rear-ended while stopping for a red light in autonomous mode at the intersection of northbound Central Expressway and Shoreline in Mountain View, CA. There were no injuries."
88,Cruise,Autonomous,Stopped,Unknown,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle ("" Cruise AV"" ), stopped in autonomous mode behind a double-parked delivery truck, was struck on its left side mirror by a passing vehicle traveling southeast-bound on 10th Street between Divison and Bryant Streets, scratching the mirror casing. There were no injuries and police were not called."
89,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode was rear-ended while traveling southeast on Middlefield Road at the Bryson Avenue intersection in Palo Alto. As the Waymo AV was stopped, the vehicle following it made contact at low speed. There were minor damages and no injuries reported at the scene by either party."
